"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 06 06:14:08 CDT 2024","Thu Jun 06 06:14:24 CDT 2024","16447","chromium","test_page_object\myAccountPage.spec.js","myAccountPage.spec","","","Verify after clicking Edit link is nvigate to Edit Page",""
"passed","Thu Jun 06 06:13:53 CDT 2024","Thu Jun 06 06:14:05 CDT 2024","11609","chromium","test_page_object\forgotPasword.spec.js","Forgot Password Page","","","After entering a valid email to the Email field and clicking the Reset My Password button the Customer Login page opens",""
"passed","Thu Jun 06 06:14:11 CDT 2024","Thu Jun 06 06:14:18 CDT 2024","6855","chromium","test_page_object\radiantTeePage.spec.js","radiantTeePage.spec","","","Verify Add Your Review is visible",""
"passed","Thu Jun 06 06:13:40 CDT 2024","Thu Jun 06 06:13:46 CDT 2024","6506","chromium","test_page_object\createAccountPage.spec.js","createAccounts.spec","","","Verify the First Name and Last Name fields are in the Create New Customer Account page",""
"passed","Thu Jun 06 06:14:03 CDT 2024","Thu Jun 06 06:14:08 CDT 2024","4634","chromium","test_page_object\homePage.spec.js","homePage.spec","","","Verify the Women link is visible",""
"passed","Thu Jun 06 06:14:03 CDT 2024","Thu Jun 06 06:14:06 CDT 2024","3715","chromium","test_page_object\homePage.spec.js","homePage.spec","","","Verify the Men link is visible",""
"passed","Thu Jun 06 06:13:52 CDT 2024","Thu Jun 06 06:14:05 CDT 2024","12679","chromium","test_page_object\forgotPasword.spec.js","Forgot Password Page","","","If there is an account associated with … (here your email)... displays if the user enters valid data",""
"passed","Thu Jun 06 06:14:06 CDT 2024","Thu Jun 06 06:14:12 CDT 2024","5700","chromium","test_page_object\homePage.spec.js","homePage.spec","","","Verify after clicking Rdiant Tee the Radiant Tee page is opened",""
"passed","Thu Jun 06 06:13:40 CDT 2024","Thu Jun 06 06:13:53 CDT 2024","13423","chromium","test_page_object\createAccountPage.spec.js","createAccounts.spec","","","Verify the account is created",""
"passed","Thu Jun 06 06:14:26 CDT 2024","Thu Jun 06 06:14:30 CDT 2024","4013","chromium","test_page_object\whatsNewPage.spec.js","whatsNewPage.spec.js","","","Verify the New in Womens subtitle is visible in the page",""
"passed","Thu Jun 06 06:14:12 CDT 2024","Thu Jun 06 06:14:19 CDT 2024","6768","chromium","test_page_object\radiantTeePage.spec.js","radiantTeePage.spec","","","Verify after clicking Add Your Review Link navigates to the Add Yoour Review section",""
"failed","Thu Jun 06 06:13:46 CDT 2024","Thu Jun 06 06:14:01 CDT 2024","14343","chromium","test_page_object\forgotPasword.spec.js","Forgot Password Page","","","The error message appears below the Email field after entering the incorrect email",""
"passed","Thu Jun 06 06:14:05 CDT 2024","Thu Jun 06 06:14:11 CDT 2024","5457","chromium","test_page_object\homePage.spec.js","homePage.spec","","","Verify the Hot Sellers section is visible",""
"passed","Thu Jun 06 06:13:40 CDT 2024","Thu Jun 06 06:13:52 CDT 2024","12638","chromium","test_page_object\editMyAccountPage.spec.js","editMyAccountPage.spec","","","Verify after clicking the Change Email checkbox the Change Email section is appeared",""
"passed","Thu Jun 06 06:13:40 CDT 2024","Thu Jun 06 06:13:46 CDT 2024","6477","chromium","test_page_object\createAccountPage.spec.js","createAccounts.spec","","","Veify Create New Customer Account page is opened",""
"passed","Thu Jun 06 06:14:27 CDT 2024","Thu Jun 06 06:14:31 CDT 2024","3871","chromium","test_page_object\whatsNewPage.spec.js","whatsNewPage.spec.js","","","Verify the New in Mens subtitle is visible in the page",""
"passed","Thu Jun 06 06:14:05 CDT 2024","Thu Jun 06 06:14:12 CDT 2024","7148","chromium","test_page_object\homePage.spec.js","homePage.spec","","","Verify after clicking the Shop New Yoga button the New Luma Yoga Collection page is opened",""
"passed","Thu Jun 06 06:14:00 CDT 2024","Thu Jun 06 06:14:03 CDT 2024","2926","chromium","test_page_object\homePage.spec.js","homePage.spec","","","Verify the Whats new link is visible",""
"passed","Thu Jun 06 06:14:18 CDT 2024","Thu Jun 06 06:14:27 CDT 2024","8571","chromium","test_page_object\radiantTeePage.spec.js","radiantTeePage.spec","","","Veify after selecting blue color the blue color is shown",""
"passed","Thu Jun 06 06:13:56 CDT 2024","Thu Jun 06 06:14:00 CDT 2024","3099","chromium","test_page_object\homePage.spec.js","homePage.spec","","","Verify the cart is on the Home page",""
"passed","Thu Jun 06 06:14:19 CDT 2024","Thu Jun 06 06:14:26 CDT 2024","7500","chromium","test_page_object\radiantTeePage.spec.js","radiantTeePage.spec","","","Veify after selecting blue color the blue photo is shown",""
"passed","Thu Jun 06 06:13:46 CDT 2024","Thu Jun 06 06:13:56 CDT 2024","10136","chromium","test_page_object\forgotPasword.spec.js","Forgot Password Page","","","Verify the Forgot Your Password link redirects to the Forgot Your Password page",""
"passed","Thu Jun 06 06:14:12 CDT 2024","Thu Jun 06 06:14:27 CDT 2024","14796","chromium","test_page_object\radiantTeePage.spec.js","radiantTeePage.spec","","","Verify the review is added",""
"failed","Thu Jun 06 06:14:24 CDT 2024","Thu Jun 06 06:14:29 CDT 2024","5132","chromium","test_page_object\whatsNewPage.spec.js","whatsNewPage.spec.js","","","Verify the Whats New Link is navigates to the Whats New Page",""
